q,imax,pmax,grid,tol,tau_eff_global,alpha_found,alpha_value,p,min_IL,ok_IL,min_IM,ok_IM,min_IR,ok_IR,Spp_approx,Spp_pass,cert_IL_L_ok,cert_IL_Lprime_ok,cert_IM_M_ok,min_margin_IL_L,min_margin_IM_M,root_count_window,min_margin_IR_quad,alpha_IR_quad_min
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,5,0.18611015220952917,True,0.17573627118471494,True,9.680423899399715e-06,True,2.97538681193199,True,True,False,False,0.18153437602613023,0.22784476170383938,0,6.1335781159312335e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,7,0.2854166254371694,True,0.2673932138086774,True,1.1628010576377953e-05,True,3.5808692816496897,True,True,False,False,0.2235678951686441,0.2611837227944654,0,8.081164792909471e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,11,0.2554852896416522,True,0.24156598623264108,True,1.3171605820778282e-05,True,4.079508475821058,True,True,False,False,0.12564085713216425,0.16969488382211012,0,9.6247600373098e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,13,0.3760424905145776,True,0.35065897195459717,True,1.296808232319137e-05,True,4.002095660080029,True,True,False,False,0.2784496254332788,0.3073501419761521,0,9.421236539722888e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,17,0.28727219216028527,True,0.27046315329167636,True,1.301425164810209e-05,True,4.02512993747349,True,True,False,False,0.15499568883498507,0.1954136563591864,0,9.467405864637899e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,19,0.33088500437638657,True,0.31003588456115183,True,1.355063579939469e-05,True,4.189414048555135,True,True,False,False,0.21244955280960628,0.24749234387749725,0,1.00037900159305e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,23,0.2235400809314123,True,0.21262127999648175,True,1.3009008841478558e-05,True,4.029022246007076,True,True,False,False,0.06887581882985386,0.11716648079047043,0,9.462163058014367e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,29,0.29456093743364986,True,0.27738173846996433,True,1.3730485656971592e-05,True,4.248120395761703,True,True,False,False,0.1634698851280391,0.20341502160576602,0,1.0183639873507401e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,31,0.36653673284463434,True,0.3424275198086309,True,1.3617668453794626e-05,True,4.207237571531449,True,True,False,False,0.25943224377255936,0.2901374508780748,0,1.0070822670330435e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,37,0.38930849967121145,True,0.3628362274964909,True,1.2930442129480959e-05,True,3.9909569241289575,True,True,False,False,0.289790681737067,0.3173452085587891,0,9.383596346008187e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,41,0.3305174088233077,True,0.31010032254070785,True,1.3926909534015173e-05,True,4.306376492969065,True,True,False,False,0.2114022580340655,0.24703037108334924,0,1.0380063750542401e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,43,0.3398316357668659,True,0.3179439081529203,True,1.3104995043326527e-05,True,4.049580492268193,True,True,False,False,0.2238211859147123,0.2574884445445015,0,9.558149259853753e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,47,0.22170527914801774,True,0.21100205143234313,True,1.2983119743323422e-05,True,4.021007893442042,True,True,False,False,0.06631935052629243,0.11489927612940914,0,9.43627395985065e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,53,0.2747729427064868,True,0.25893906354066276,True,1.2846924930264881e-05,True,3.974359619228033,True,True,False,False,0.1370762293063004,0.1788152864085335,0,9.30007914679211e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,59,0.22043272781356393,True,0.20993922108886331,True,1.3387208147228236e-05,True,4.147296403002718,True,True,False,False,0.06462260892542729,0.11348216262454397,0,9.840362363755464e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,61,0.42304005052435556,True,0.3936040099595981,True,1.3511311102050439e-05,True,4.169422752338007,True,True,False,False,0.33476570584515186,0.3583685477579922,0,9.964465318577667e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,67,0.32613975842337795,True,0.30539204526959646,True,1.2740132377761552e-05,True,3.93694111698629,True,True,False,False,0.20556531635675,0.2407525948178985,0,9.193286594305943e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,71,0.2826680177001749,True,0.26680935673567213,True,1.4104624444916357e-05,True,4.365688629743749,True,True,False,False,0.1476029953909013,0.18930901010444778,0,1.0557778661460748e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,73,0.39806730737904505,True,0.3707620361898709,True,1.3101645116476256e-05,True,4.043739060113417,True,True,False,False,0.3014687149625124,0.3279125827098339,0,9.554799333020647e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,79,0.3270092133769812,True,0.3066599725132857,True,1.3697909597938716e-05,True,4.235422029095784,True,True,False,False,0.2067245896262698,0.2424431644742321,0,1.0151063814483106e-05,0.00011959906005859375
